bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,sn102,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e,ha_ind,ha_ind_e,NaD1_ind_v,NaD1_ind_e,NaD2_ind_v,NaD2_ind_e,rvccfsum,rvccfsumerr,rvccfmod,rvccfmoderr,driftfun
2459691.8261419646,14.842762204500907,7.191269165209335,,,4.884563794390042,9.271024378190718,600.001225,-5.017412659875846,2022A-970114,1.7134,../input_example/TIC 288735205/neidL2_20220422T074445.fits,43.30855818037924,15.147501003952668,-103.44911339482836,66.4573604343053,f,0.8315876619480838,0.011447394937533658,0.6587712239679854,0.014527875226764346,0.7496514028098304,0.01490665921064613,0.7987103546421481,0.009514361755557678,0.4472311414171354,0.014418186437055421,0.570801665450546,0.014866638007368062,-40.81869118655079,0.006001859306661408,-40.82349099245962,0.006224248219787891,dailymodel0
2459691.833406681,-2.0883493832730067,7.422810399592667,,,4.787586277659147,9.02418149064781,600.001337,-5.018323389478258,2022A-970114,1.6944,../input_example/TIC 288735205/neidL2_20220422T075512.fits,40.49049196602881,15.686002861899778,-92.34447538489067,65.16577370691135, ,0.81199262164311,0.011687798465390887,0.6676233163651769,0.014774120567542787,0.7578593693497726,0.015648496417377977,0.822974678388006,0.00992317674180809,0.4790844270305204,0.015095771451602642,0.5608818795724619,0.015465432087032273,-40.83446056506228,0.006112398872713494,-40.8337893041695,0.006355077121638185,dailymodel0
2459691.8406713996,-4.6419755173788575,7.661897036346891,,,4.5433641864161,8.562312659502396,600.001736,-5.019371195658709,2022A-970114,1.6763,../input_example/TIC 288735205/neidL2_20220422T080540.fits,45.663720518117465,16.148645878136186,-105.77994829729933,60.73322812726626, ,0.8104674431987153,0.012203831110670041,0.7131103222287828,0.015922447476066692,0.7598039795290448,0.01628631832956241,0.8184790499924487,0.010232944916949243,0.4255448590831224,0.015353200132673007,0.5981454530042495,0.016220562232261523,-40.82252561702406,0.00626117719295372,-40.82527144440134,0.00650456893019374,dailymodel0
2459691.8479361148,-29.586177632982338,9.414568417402366,,,3.6792343776098537,7.065544310716062,600.001486,-5.020552728717487,2022A-970114,1.6588,../input_example/TIC 288735205/neidL2_20220422T081608.fits,143.4344823044079,19.73509242562461,-32.20820130883665,77.33221537464804, ,0.8261308862491632,0.014673475423603534,0.7000537844268541,0.019189608956694894,0.7438760337879722,0.020430023163583305,0.8211677057533924,0.012413984440134302,0.4484598325969927,0.018729206558878914,0.5768213171669507,0.019753913527744277,-40.84902711177168,0.006984274444099761,-40.85361136275076,0.00731208411803975,dailymodel0
2459691.8552008276,-32.46231566204568,9.474254321937208,,,3.5868268084299526,7.004698714238289,600.000894,-5.021864359505358,2022A-970114,1.6423,../input_example/TIC 288735205/neidL2_20220422T082635.fits,84.19552587690583,20.037004089207855,28.454110370782526,77.27334954483585, ,0.8054604801084189,0.014775044719248544,0.701205657211361,0.0196071517965412,0.7441059680229308,0.02063076294455287,0.8188721849837695,0.012710023789098066,0.4959178526956032,0.02000454281221052,0.5165036183378071,0.020109926636028612,-40.83712698004351,0.007113768238138301,-40.84910367534685,0.007404719999809276,dailymodel0
2459691.8624655446,-33.07367671644831,8.56904566601227,,,4.078651035629411,7.71782161690343,600.001129,-5.023302187544789,2022A-970114,1.6265,../input_example/TIC 288735205/neidL2_20220422T083703.fits,44.91435405425729,18.15088355045668,4.7481924292737885,76.5104436796082, ,0.8373232579684502,0.01365459579372939,0.6890286341459686,0.017774518238592617,0.7450822302964583,0.018153887763096902,0.8063283717517671,0.011417324748891554,0.44485348284345605,0.01712479617210034,0.5343167159545696,0.017527363357696637,-40.88466259523291,0.006611166656532568,-40.87874186086387,0.006897019053583238,dailymodel0
2459691.8697302644,-34.82585922773398,7.261383825686596,,,4.814807568617263,8.983535999557839,600.001705,-5.0248620461223314,2022A-970114,1.6116,../input_example/TIC 288735205/neidL2_20220422T084731.fits,1.9480771130429737,15.372448738392052,-76.22842325827332,69.28583267301241, ,0.8055488420258217,0.011721327027732419,0.7187778652630772,0.01517753975314559,0.7381315540380888,0.015604079087474704,0.8119640463045813,0.009843216609978205,0.44763587189451803,0.014605664580910473,0.5714747184586829,0.015025098960703363,-40.87522098150533,0.005944529084823576,-40.86826769034305,0.006177620615716737,dailymodel0
2459691.8769949675,-22.335792659774814,8.030076971500824,,,4.2879862752539255,7.9755980687938735,600.001444,-5.026539508679098,2022A-970114,1.5974,../input_example/TIC 288735205/neidL2_20220422T085758.fits,35.42220242522397,16.969494385918395,-97.8695118936212,73.20595343323802, ,0.8285923566331818,0.013121032524425494,0.6778547761703277,0.01727505875232899,0.7431482417929137,0.017730529998862127,0.8001829024229445,0.01085823616918115,0.47589414342373776,0.016404203941988674,0.5502602983403962,0.016593426422638384,-40.84019786260507,0.006289723108567968,-40.84968705041844,0.006579304550298697,dailymodel0
2459691.884259694,15.64028021585349,8.834798549090875,,,3.9320465458949236,7.361552486831996,600.001236,-5.028329916169906,2022A-970114,1.5841,../input_example/TIC 288735205/neidL2_20220422T090826.fits,49.20193448977028,18.692263876562578,-47.054307869679924,68.33224253558933,-,0.8154495794228152,0.014110161628610063,0.6968267457239568,0.0187164909296733,0.7561716992822349,0.019254542291625265,0.8068123714001757,0.011889767692288812,0.45759213486949035,0.018458665027176878,0.5741773051994924,0.018893710051482774,-40.82828029449241,0.00672775797561886,-40.82567821156886,0.007013724954316495,dailymodel0
2459691.891524414,-13.564131186216516,8.634167566401889,,,4.022771863780926,7.642009829851435,599.999936,-5.030228355994739,2022A-970114,1.5716,../input_example/TIC 288735205/neidL2_20220422T091854.fits,70.77477808556102,18.22641628758508,-102.83529117126947,81.16353154652134,i,0.8245015990513104,0.01362358154335939,0.6886461928022969,0.017905031529146825,0.766991780931957,0.01866969758222747,0.8124890211849413,0.011375885580106056,0.4887944815078638,0.01753701775393972,0.5351192925271336,0.01762737146368946,-40.83908179271073,0.006562103060443645,-40.83797854232483,0.006865407932038382,dailymodel0
2459691.898789126,2.8240584405522533,7.431032282455849,,,4.774831161111788,8.92990899386451,600.001256,-5.032229695681795,2022A-970114,1.5598,../input_example/TIC 288735205/neidL2_20220422T092921.fits,63.28116283640865,15.636532915457341,-36.064064912705156,61.48964149932909,n,0.8346450900086737,0.011719463708033225,0.7102214044705009,0.015096421431893589,0.7394522287201781,0.015819498751392467,0.7943754633581124,0.00971051182072502,0.46736621908175413,0.01476600873968978,0.560860292013347,0.015103193808014196,-40.83434401402301,0.006116756004772719,-40.83422884355451,0.006348306706178212,dailymodel0
2459691.9060538425,-8.245647114527841,5.58891720502662,,,6.466892058184712,11.55824895940929,600.001351,-5.034328591308247,2022A-970114,1.5488,../input_example/TIC 288735205/neidL2_20220422T093949.fits,-30.53952287940129,11.799091812655766,-25.472077808034115,51.13263977353924,f,0.8050834056506211,0.009151512954900905,0.6610572999652164,0.011322159438671422,0.7649793709531255,0.012013861386204484,0.8083507751663666,0.007542566516656685,0.4629848107811682,0.01100755690432015,0.577108254004917,0.01141272689728778,-40.8479095626807,0.00509930132427937,-40.84664409892462,0.005260653520029084,dailymodel0
2459691.913318557,-16.768141695729238,8.49301539353535,,,4.140966013048065,7.790135283657819,600.001249,-5.036519488898167,2022A-970114,1.5385,../input_example/TIC 288735205/neidL2_20220422T095017.fits,30.965073212195303,17.976868449385154,34.56943880875302,78.05391522900204, ,0.822211389247418,0.013462775083659517,0.6944175192022627,0.017525486890916105,0.71655887626662,0.017621213529625777,0.8085356788372347,0.011385847877840277,0.4480969723594988,0.017080519954177132,0.5799758265297057,0.017988766292768642,-40.83289580430745,0.00656774276391016,-40.83919451317173,0.006863753012950988,dailymodel0
2459691.920583274,4.5855863448634056,10.267399297115094,,,3.3204217790372494,6.517556432759271,600.00142,-5.038796644658969,2022A-970114,1.529,../input_example/TIC 288735205/neidL2_20220422T100044.fits,135.7781570862875,21.584579022083712,-74.8473322180098,80.41849376294519, ,0.7678378883210077,0.01556766896668848,0.6817094078058574,0.021006765488361966,0.7449426421600348,0.021766689256933185,0.8010031929891972,0.01355754893877323,0.45662363852760507,0.02159590118044079,0.5128410875506949,0.02173161423350732,-40.82805126013417,0.007307859542358792,-40.83384881465302,0.007671169441281304,dailymodel0
2459691.9278479903,-19.122585337036487,9.556086456108918,,,3.6090741196921923,6.9869617163976985,600.001421,-5.0411541319044195,2022A-970114,1.5203,../input_example/TIC 288735205/neidL2_20220422T101112.fits,107.16878273950628,20.14509588159724,1.1011284306843079,73.62856316479288, ,0.8387497243388858,0.014907975196662636,0.6848680453718777,0.019703001518280014,0.7325525883628591,0.019990365717899524,0.8082499620086229,0.01261949082045706,0.43288024870953906,0.019384173822328803,0.5646477128429882,0.020075876304482213,-40.83451773460674,0.007031261776972876,-40.83283226058503,0.007367406067197668,dailymodel0
2459691.935112705,1.6213125403130975,7.876608400708962,,,4.452935497503355,8.575324256220814,600.001353,-5.043585856564817,2022A-970114,1.5124,../input_example/TIC 288735205/neidL2_20220422T102140.fits,51.57393508101114,16.628379544934276,39.96163188764384,75.5625016287098, ,0.8063376795300513,0.012070252715044368,0.7250226297974397,0.016268882371435936,0.767516855679843,0.01639020547981809,0.8000978252436332,0.010332307204585904,0.4616176390894191,0.015701330365749055,0.6145859803183608,0.01658341694836063,-40.84376606431851,0.00627337425340628,-40.83447528397559,0.006539617520741628,dailymodel0
